IPT0041,4,12288,128000
IPT0117,20,262109,224
IPT0033,8,131072,0
IPT0030,8,131072,0
IPT0032,8,131072,0
IPT0031,8,131072,0
IPT0291,16,196421,104665088
IPT0292,16,196421,104665088
IPT0003,2,2048,0
IPT0038,2,512,12288
IPT0043,2,8192,128000
IPT0183,2,4096,184320
IPT0349,36,0,0
IPT0350,36,0,0
IPT0297,16,40960,78211072
IPT0316,8,32768,1179648
IPT0360,2,8192,253952
IPT0345,36,0,0
IPT0332,4,4096,327680
IPT0310,4,8192,122880
IPT0290,16,40960,78211072
IPT0329,16,40960,78262272
IPT0263,1,1024,276263
IPT0355,0,0,0
IPT0347,36,0,0
IPT0261,4,16384,276263
IPT0322,4,16384,151552
IPT0305,4,8192,26624
IPT0354,36,0,0
IPT0255,1,1024,276263
IPT0339,4,4096,317440
IPT0346,36,0,0
IPT0288,16,40960,78211072
IPT0330,16,40960,65923072
IPT0353,36,0,0
IPT0356,36,0,0
IPT0357,36,0,0
IPT0295,16,40960,78211072
IPT0299,16,40960,78211072
IPT0344,36,0,0
IPT0253,4,16384,276263
IPT0296,16,40960,78211072
IPT0298,16,40960,78211072
IPT0334,4,8192,1308672
IPT0335,8,32768,356352
IPT0348,36,0,0
IPT0264,4,16384,276263
IPT0282,32,653983,172603392
IPT0286,16,49152,106883072
IPT0324,1,2048,86016
IPT0341,32,0,0
IPT0257,4,16384,276263
IPT0275,32,653983,63328256
IPT0279,32,653983,401537024
IPT0304,4,12288,20480
IPT0338,4,4096,624640
IPT0342,32,0,0
IPT0278,32,653983,401537024
IPT0308,4,16384,122880
IPT0315,4,8192,335872
IPT0318,4,16384,122880
IPT0340,8,24576,220160
IPT0266,1,1024,276263
IPT0283,32,523935,172603392
IPT0307,4,8192,26624
IPT0265,4,16384,276263
IPT0281,32,653983,172603392
IPT0284,8,49152,540672
IPT0287,8,32768,49661952
IPT0306,4,12288,20480
IPT0309,4,16384,122880
IPT0260,4,8192,40960
IPT0280,32,653983,401537024
IPT0321,4,12288,233472
IPT0333,4,16384,1308672
IPT0336,4,4096,808960
IPT0277,32,653983,401537024
IPT0285,8,49152,57905152
IPT0361,2,4096,253952
IPT0276,32,653983,0
IPT0037,2,512,12288
IPT0270,28,786161,438638592
IPT0317,8,8192,348160
IPT0035,4,32768,128000
IPT0036,2,4096,12288
IPT0254,4,16384,276263
IPT0267,10,65536,2420736
IPT0271,28,786161,438638592
IPT0293,8,32768,53635072
IPT0300,4,8192,26624
IPT0323,4,16384,151552
IPT0251,8,32768,54323200
IPT0256,4,16384,276263
IPT0273,28,786160,172585984
IPT0252,4,8192,317440
IPT0314,4,8192,335872
IPT0343,28,0,0
IPT0237,28,392945,0
IPT0262,4,16384,276263
IPT0289,16,40960,90499072
IPT0331,8,8192,332800
IPT0039,4,12288,719232
IPT0042,4,8192,128000
IPT0182,2,4096,184320
IPT0268,28,786160,438638592
IPT0235,28,392945,172585984
IPT0250,8,49152,540672
IPT0258,1,1024,276263
IPT0274,28,786161,172585984
IPT0302,4,12288,20480
IPT0303,4,8192,26624
